"","Isolates","Color","Form","Surface","Appearance","Size","Cell_shape","Endospore_formation","Gram_Reaction","IAA_production","Antagonistic_activity","k"
"1","RPBFG R 10","creamy","circular","smooth","opaque","Large","rod",1,1,2.1,0,"6"
"2","RPBFG R 11","creamy","circular","smooth","opaque","Large","rod",1,1,0,0,"6"
"3","RPBFG R 12","gray","irregular","smooth","opaque","Large","rod",0,0,0.7,0,"6"
"4","RPBFG S 13","creamy","circular","smooth","opaque","Medium","cocci",0,1,0.7,0,"6"
"5","RPBFG S 14","creamy","circular","wrinkled","opaque","Large","rod",1,1,0,14.2,"3"
"6","RPBFG S 15","creamy","circular","smooth","opaque","Large","rod",1,1,1.9,21.3,"3"
"7","RPBFG L 16","creamy","irregular","wrinkled","opaque","Large","rod",1,1,3.6,36.4,"1"
"8","RS R 1","white","circular","hairy","opaque","Large","rod",1,1,2.8,40.8,"1"
"9","RS R 2","creamy","rhizoid","wrinkled","opaque","Large","rod",1,1,0.1,0,"6"
"10","RS R 3","creamy","circular","smooth","translucent","Medium","rod",0,0,10.3,50.3,"2"
"11","RS S 5","creamy","circular","smooth","translucent","Medium","rod",0,0,1.9,0,"6"
"12","RS S 6","creamy","circular","smooth","opaque","Medium","cocci",0,1,0.9,0,"6"
"13","RS S 7","white","irregular","smooth","translucent","Large","rod",1,1,0,43.2,"1"
"14","RS L 8","white","irregular","smooth","opaque","Large","rod",1,1,0.5,0,"6"
"15","RSE R 17","creamy","circular","wrinkled","opaque","Large","rod",1,1,0.3,0,"6"
"16","RSE R 18","gray","irregular","smooth","opaque","Medium","rod",0,0,4.1,0,"4"
"17","RSE S 19","creamy","irregular","wrinkled","opaque","Large","rod",1,1,1.8,0,"6"
"18","RSE S 20","creamy","circular","wrinkled","opaque","Large","rod",1,1,3.6,0,"4"
"19","RSE L 21","white","circular","smooth","opaque","Medium","rod",1,1,1.5,0,"6"
"20","RSE L 22","white","circular","wrinkled","opaque","Large","rod",1,1,13.1,65.2,"2"
"21","RE R 23","creamy","circular","hairy","opaque","Large","rod",1,1,1.1,38.7,"1"
"22","RE R 24","creamy","rhizoid","wrinkled","opaque","Small","rod",1,1,1.5,0,"6"
"23","RE S 25","creamy","circular","smooth","opaque","Medium","cocci",0,1,1.8,0,"6"
"24","RE L 28","yellowish","irregular","smooth","opaque","Medium","rod",1,1,0,40.7,"1"
"25","S R 134","creamy","irregular","smooth","opaque","Large","rod",0,0,2.2,0,"6"
"26","S L 129","white","irregular","smooth","translucent","Medium","rod",0,0,3.7,0,"4"
"27","G R 124","creamy","circular","smooth","opaque","Small","rod",1,1,3.3,0,"6"
"28","G R 125","creamy","circular","smooth","opaque","Medium","cocci",0,0,0.2,0,"6"
"29","G R 126","creamy","irregular","smooth","opaque","Large","cocci",0,0,3.8,0,"4"
"30","G T 119","white","circular","smooth","opaque","Large","rod",1,1,2.3,45.3,"1"
"31","G T 120","creamy","rhizoid","wrinked","opaque","Large","rod",1,1,1.7,0,"6"
"32","G S 127","creamy","circular","smooth","translucent","Medium","rod",0,0,4.9,0,"4"
"33","G S 128","white","circular","smooth","translucent","Medium","rod",0,0,4.3,0,"4"
"34","G L 121","white","circular","smooth","opaque","Large","rod",1,1,0,0,"6"
"35","RS R 115","creamy","irregular","smooth","translucent","Medium","rod",0,0,5.4,43.5,"1"
"36","RS R 116","creamy","circular","smooth","opaque","Medium","cocci",0,1,2.3,0,"6"
"37","RS T 111","creamy","circular","smooth","opaque","Large","rod",1,1,3.7,42.8,"1"
"38","RS T 112","creamy","rhizoid","wrinkled","opaque","Small","rod",1,1,0.7,48.3,"1"
"39","RS S 114","creamy","irregular","smooth","translucent","Medium","rod",0,0,2.6,0,"6"
"40","P R 101","creamy","circular","smooth","opaque","Medium","rod",1,1,8.1,0,"5"
"41","P R 102","white","circular","smooth","opaque","Small","cocci",0,0,0,0,"6"
"42","P R 109","creamy","circular","wrinkled","opaque","Large","rod",1,1,0,42.5,"1"
"43","P T 105","creamy","circular","smooth","opaque","Medium","cocci",0,1,1.3,0,"6"
"44","P T 106","white","circular","smooth","opaque","Medium","cocci",0,0,0,0,"6"
"45","P S 103","white","circular","smooth","opaque","Medium","rod",1,1,0.9,0,"6"
"46","P S 104","creamy","circular","smooth","opaque","Large","rod",1,1,1.9,0,"6"
"47","P L 107","white","circular","smooth","translucent","Medium","rod",1,1,1.2,0,"6"
"48","P L 113","creamy","circular","smooth","opaque","Large","rod",1,1,2.3,37.7,"1"
"49","P L 122","creamy","rhizoid","wrinkled","opaque","large","rod",1,1,11,0,"5"
